Djibouti,3,,X,1,Poor,Tier 2 Watch List,Member,Member,Member,,Member,,,,,Member,Member,6,Member,,Member,,,,2
Dominica,2,,X,1,Good,,,Member,Member,Member,Member,,,,,,,4,,,Member,,Member,,2
Dominican Republic,1,X,X,2,Fair,Tier 2,Member,Member,Member,Member,Member,,,,,,,5,,,Member,,,Member,2
Ecuador,,X,X,2,Poor,Tier 2,Member,Member,Member,Member,Member,,,,,,Member,6,,,Member,,,,1
Egypt,,X,X,2,Fair,Tier 2,Member,Member,Member,,Member,,,,,Suspended,Member,5.5,,,Member,,,,1
El Salvador,2,X,X,2,Poor,Tier 2,Member,Member,Member,Member,Member,,,,,,,5,,,Member,,,Member,2
Equatorial Guinea,,,X,1,Unsuitable,Tier 3,Member,Member,Member,,Member,,,,,Member,,5,Member,,Observer,,,,2
Eritrea,,,X,1,Poor,Tier 3,Member,Member,Member,,Member,,,,,Member,,5,Member,,,,,,1
Estonia,,,X,1,Good,Tier 2,Member,Member,Member,,Member,Member,Member,Member,Member,,Member,9,,,Member,,,,1
Ethiopia,1,X,X,2,Unsuitable,Tier 2,Member,Member,Member,,Member,,,,,Member,Member,6,Member,,Observer,,,,2
Federated States of Micronesia,,,X,1,Poor,Tier 2 Watch List,Member,Member,Member,,Member,,,,,,,4,,,,,,,0
Fiji,,,X,1,Fair,Tier 2,Member,Member,Member,,Member,,,,,,,4,,,Member,,,,1
Finland,,X,X,2,Excellent,Tier 1,Member,Member,Member,,Member,Member,Member,,Member,,Member,8,,,Member,,,,1
France,,,X,1,Excellent,Tier 1,Member,Member,Member,,Member,Member,Member,Member,Member,,Member,9,,,Member,,,,1
Gabon,,,X,1,Poor,Tier 2,Member,Member,Member,,Member,,,,,Member,,5,Member,,Member,,,,2
Gambia,,X,X,2,Poor,Tier 2 Watch List,Member,Member,Member,,Member,,,,,Member,,5,Member,,Member,,,,2
Georgia,,,X,1,Fair,Tier 2,Member,Member,Member,,Member,Member,,,,,,5,,,Member,,,,1
Germany,,X,X,2,Excellent,Tier 1,Member,Member,Member,,Member,Member,Member,Member,Member,,Member,9,,,Member,,,,1
Ghana,1,X,X,2,Poor,Tier 2,Member,Member,Member,,Member,,,,,Member,Member,6,Member,,Member,,,,2
Greece,,X,X,2,Good,Tier 2,Member,Member,Member,,Member,Member,Member,Member,Member,,Member,9,,,Member,,,,1
Grenada,2,,X,1,Fair,,Member,Member,Member,Member,Member,,,,,,,5,,,Member,,Member,Member,3
Guatemala,2,X,X,2,Poor,Tier 2,Member,Member,Member,Member,Member,,,,,,,5,,,Member,,,,1
