Country,PEPFAR_2014,NNPTSigned_2014,NNPTDeposited_2014,NNPTSignedAndDeposited_2014,MaternalHealthAccessToCare_2014,TIPS_2013,ICAOMember_2014,UNESCOMember_2014,FAOMember_2014,OASMember_2014,UNGAMember_2014,OSCEMember_2014,OECDMember_2014,NATOMember_2014,EUMember_2014,AUMember_2014,UNHCRMember_2014,MLOIndex_2014,APECMember_2014,NAFTAMember_2014,WTOMember_2014,ASEANMember_2014,CBERAMember_2014,CAFTAMember_2014,TPIndex_2014,USAID-GlobalHealth_2014,USAID-DHRA_2014,USAID-WatSan_2014,USAID-CrisisConflict_2014,USAID-GenderWomen_2014,USAID-EnvClimate_2014,USAID-ScienceTech_2014,NIV_1997,NIV_1998,NIV_1999,NIV_2000,NIV_2001,NIV_2002,NIV_2003,NIV_2004,NIV_2005,NIV_2006,NIV_2007,NIV_2008,NIV_2009,NIV_2010,NIV_2011,NIV_2012,NIV_2013,ChildMort_2012,MalariaElim_2012,TBIncidence-100k_2012,TBDrugResistance-2012
Botswana,1,X,X,2,Fair,Tier 2,Member,Member,Member,,Member,,,,,Member,,5,Member,,Member,,,,2,,,,,,,,850,1238,1153,1387,1322,1191,1048,1218,1385,1089,1322,1466,1226,1191,1273,1341,1129,53.3,4,408,1
Brazil,3,,X,1,Poor,Tier 2,Member,Member,Member,,Member,,,,,,Member,5,,,Member,,,,1,1,,,,1,1,,575041,496683,313034,261096,240609,129605,108795,159103,159103,283762,359735,449889,484038,556061,801371,1049689,982463,14.4,4,46,1
Brunei,,,X,1,Good,Tier 2,Member,Member,Member,,Member,,,,,,,4,,,Member,Member,,,2,,,,,,,,397,205,142,210,154,178,168,181,189,127,228,324,209,266,375,379,438,8,0,68,0
Bulgaria,,X,X,2,Fair,Tier 2,Member,Member,Member,,Member,Member,,Member,Member,,Member,8,,,Member,,,,1,,,,,,,,12957,16262,18558,19401,22763,21730,23034,25244,26816,28643,28838,28681,22021,20874,24354,23283,20944,12.1,0,32,1
Burkina Faso,,X,X,2,Unsuitable,Tier 2,Member,Member,Member,,Member,,,,,Member,,5,Member,,Member,,,,2,,,,,,,,1196,1379,1353,1355,1952,1507,1426,1617,1861,2243,2499,2264,2159,1890,1967,2588,2709,102.4,4,54,1
Burma,1,,X,1,Unsuitable,Tier 2 Watch List,Member,,Member,,Member,,,,,,,3,,,Member,Member,,,2,1,1,,,,,,3452,4083,4386,5431,4505,2994,3232,3764,4317,4366,4127,4397,5335,5910,6773,6967,8438,52.3,4,377,1
Burundi,1,,X,1,Poor,Tier 2 Watch List,Member,Member,Member,,Member,,,,,Member,,5,Member,,Member,,,,2,,,,,,,,461,431,506,671,901,832,535,705,864,1074,1019,972,892,835,999,1147,1385,104.3,4,130,0
Cabo Verde,,,X,1,,Tier 2 Watch List,Member,Member,Member,,Member,,,,,Member,,5,Member,,Member,,,,2,,,,,,,,4262,2885,2909,3321,5986,3295,1483,1438,1733,2115,2225,2294,2049,1826,1835,2100,2255,22.2,3,144,0
Cambodia,1,,X,1,Good,Tier 2,Member,Member,Member,,Member,,,,,,,4,,,Member,Member,,,2,1,1,,,,,,3050,676,895,2550,4439,3371,4019,5080,4852,4225,3814,3824,3545,3591,3212,3663,4683,39.7,4,411,1
Cameroon,1,X,X,2,Poor,Tier 1,Member,Member,Member,,Member,,,,,Member,Member,6,Member,,Member,,,,2,,,,,,,,2970,3303,5106,5403,6891,7476,7634,7085,7276,7334,7698,7669,7628,7795,7579,7403,7456,94.9,4,238,0
